Geography,"Allocated
AIAN
Race
Case
Count
(Raw)","COVID-19
Total AIAN
Rate
(Suppressed)",Date
Alpine,,,7/8/2020
Anza-Borrego Springs,,,7/8/2020
Carlsbad,,,7/8/2020
Central Region,,,7/8/2020
Central San Diego,,,7/8/2020
Chula Vista,,,7/8/2020
City of Carlsbad,,,7/8/2020
City of Chula Vista,,,7/8/2020
City of Coronado,,,7/8/2020
City of Del Mar,,,7/8/2020
City of El Cajon,,,7/8/2020
City of Encinitas,,,7/8/2020
City of Escondido,,,7/8/2020
City of Imperial Beach,,,7/8/2020
City of La Mesa,,,7/8/2020
City of Lemon Grove,,,7/8/2020
City of National City,,,7/8/2020
City of Oceanside,,,7/8/2020
City of Poway,,,7/8/2020
City of San Diego,7.9,130.6,7/8/2020
City of San Marcos,,,7/8/2020
City of Santee,,,7/8/2020
City of Solana Beach,,,7/8/2020
City of Vista,,,7/8/2020
Coastal,,,7/8/2020
Coronado,,,7/8/2020
Del Mar-Mira Mesa,,,7/8/2020
East Region,,,7/8/2020
El Cajon,,,7/8/2020
Elliott-Navajo,,,7/8/2020
Escondido,,,7/8/2020
Fallbrook,,,7/8/2020
Harbison Crest,,,7/8/2020
Harbison Crest-El Cajon,,,7/8/2020
Jamul,,,7/8/2020
Kearny Mesa,,,7/8/2020
La Mesa,,,7/8/2020
Laguna-Pine Valley,,,7/8/2020
Lakeside,,,7/8/2020
Lemon Grove,,,7/8/2020
Mid-City,,,7/8/2020
Miramar,,,7/8/2020
Mountain Empire,,,7/8/2020
National City,,,7/8/2020
North Central Region,,,7/8/2020
North Coastal Region,,,7/8/2020
North County,11.0,186.5,7/8/2020
North Inland Region,7.0,212.7,7/8/2020
North San Diego,,,7/8/2020
Oceanside,,,7/8/2020
Palomar-Julian,,,7/8/2020
Pauma,,,7/8/2020
Pendleton,,,7/8/2020
Peninsula,,,7/8/2020
Poway,,,7/8/2020
Ramona,,,7/8/2020
San Diego County,29.0,191.2,7/8/2020
San Dieguito,,,7/8/2020
San Marcos,,,7/8/2020
Santee,,,7/8/2020
South Bay,,,7/8/2020
South Region,7.0,423.7,7/8/2020
Southeastern San Diego,,,7/8/2020
Spring Valley,,,7/8/2020
Supervisorial District 1,7.0,315.5,7/8/2020
Supervisorial District 2,,,7/8/2020
Supervisorial District 3,,,7/8/2020
Supervisorial District 4,,,7/8/2020
Supervisorial District 5,8.1,217.9,7/8/2020
Sweetwater,,,7/8/2020
Unincorporated,7.1,212.5,7/8/2020
University,,,7/8/2020
Valley Center,,,7/8/2020
Vista,,,7/8/2020
